GameDate,TeamName,HomeOrAway,Goals,GoalAttempts,ShotsOnGoal,ShotsOffGoal,PosessionPercent
8/26/2015 05:30 PM,Chicago Fire,Home,3,16,5,11,48.68
8/26/2015 05:30 PM,New York Red Bulls,Away,2,12,3,9,51.32
8/26/2015 06:00 PM,Colorado Rapids,Home,2,15,7,8,40.96
8/26/2015 06:00 PM,Houston Dynamo,Away,1,14,11,3,59.04
8/28/2015 08:00 PM,San Jose Earthquakes,Home,1,10,3,7,50.27
8/28/2015 08:00 PM,Los Angeles Galaxy,Away,0,12,6,6,49.73
8/29/2015 01:00 PM,New York City,Home,1,17,3,14,55.88
8/29/2015 01:00 PM,Toronto FC,Home,2,16,5,11,43.19
8/29/2015 01:00 PM,Columbus Crew,Away,2,8,4,4,44.12
8/29/2015 01:00 PM,Montreal Impact,Away,1,21,9,12,56.81
8/29/2015 04:00 PM,Philadelphia Union,Home,0,21,4,17,59.37
8/29/2015 04:00 PM,New England Revolution,Away,1,24,5,19,40.63
8/29/2015 04:30 PM,Orlando City,Home,1,14,4,10,41.7
8/29/2015 04:30 PM,Chicago Fire,Away,1,16,10,6,58.3
8/29/2015 06:00 PM,Colorado Rapids,Home,2,16,6,10,59.12
8/29/2015 06:00 PM,FC Dallas,Home,2,11,2,9,43.8
8/29/2015 06:00 PM,Houston Dynamo,Home,2,12,8,4,51.2
8/29/2015 06:00 PM,Sporting Kansas City,Away,1,11,8,3,40.88
8/29/2015 06:00 PM,Real Salt Lake,Away,0,6,6,0,56.2
8/29/2015 06:00 PM,Vancouver Whitecaps,Away,0,18,5,13,48.8
8/30/2015 01:30 PM,Seattle Sounders,Home,2,9,4,5,58.76
8/30/2015 01:30 PM,Portland Timbers,Away,1,14,2,12,41.24
8/30/2015 04:00 PM,New York Red Bulls,Home,3,11,3,8,57.51
8/30/2015 04:00 PM,DC United,Away,0,15,12,3,42.49
9/5/2015 04:30 PM,New England Revolution,Home,3,19,10,9,42.54
9/5/2015 04:30 PM,Orlando City,Away,0,23,7,16,57.46
9/5/2015 05:00 PM,Montreal Impact,Home,4,15,10,5,54.28
9/5/2015 05:00 PM,Chicago Fire,Away,3,6,5,1,45.72
9/5/2015 07:00 PM,Seattle Sounders,Home,2,23,12,11,59.37
9/5/2015 07:00 PM,Toronto FC,Away,1,10,4,6,40.63
9/5/2015 07:30 PM,San Jose Earthquakes,Home,1,15,5,10,58.27
9/5/2015 07:30 PM,Philadelphia Union,Away,2,9,7,2,41.73
9/6/2015 04:00 PM,Columbus Crew,Home,0,10,4,6,57.08
9/6/2015 04:00 PM,FC Dallas,Away,3,11,9,2,42.92
9/9/2015 07:00 PM,Vancouver Whitecaps,Home,2,21,9,12,60.09
9/9/2015 07:00 PM,Colorado Rapids,Away,0,11,4,7,39.91
9/9/2015 07:30 PM,Portland Timbers,Home,0,7,3,4,47.36
9/9/2015 07:30 PM,Sporting Kansas City,Away,0,20,11,9,52.64
9/11/2015 04:00 PM,New York Red Bulls,Home,3,19,5,14,56.6
9/11/2015 04:00 PM,Chicago Fire,Away,2,16,6,10,43.4
9/12/2015 04:00 PM,Philadelphia Union,Home,1,17,5,12,47.62
9/12/2015 04:00 PM,Columbus Crew,Away,2,6,3,3,52.38
9/12/2015 05:30 PM,FC Dallas,Home,2,25,6,19,49.06
9/12/2015 05:30 PM,Houston Dynamo,Home,1,8,2,6,60.48
9/12/2015 05:30 PM,New York City,Away,1,20,7,13,50.94
9/12/2015 05:30 PM,Real Salt Lake,Away,3,12,8,4,39.52
9/12/2015 06:00 PM,Colorado Rapids,Home,1,10,10,0,57.05
9/12/2015 06:00 PM,DC United,Away,1,9,4,5,42.95
9/12/2015 07:30 PM,Los Angeles Galaxy,Home,0,6,5,1,59.39
9/12/2015 07:30 PM,San Jose Earthquakes,Home,1,15,10,5,47.61
9/12/2015 07:30 PM,Montreal Impact,Away,0,23,9,14,40.61
9/12/2015 07:30 PM,Seattle Sounders,Away,1,12,2,10,52.39
9/13/2015 02:00 PM,Toronto FC,Home,1,8,8,0,48.76
9/13/2015 02:00 PM,New England Revolution,Away,3,12,3,9,51.24
9/13/2015 04:00 PM,Orlando City,Home,3,16,2,14,53.64
9/13/2015 04:00 PM,Sporting Kansas City,Away,1,21,11,10,46.36
9/16/2015 04:30 PM,New England Revolution,Home,2,25,12,13,55.23
9/16/2015 04:30 PM,New York City,Home,2,10,2,8,46.21
9/16/2015 04:30 PM,New York Red Bulls,Away,1,13,7,6,44.77
9/16/2015 04:30 PM,Toronto FC,Away,0,13,11,2,53.79
9/16/2015 07:30 PM,San Jose Earthquakes,Home,1,7,3,4,41.21
9/16/2015 07:30 PM,Montreal Impact,Away,1,10,4,6,58.79
9/18/2015 04:00 PM,Sporting Kansas City,Home,3,12,8,4,60.2
9/18/2015 04:00 PM,FC Dallas,Away,1,15,8,7,39.8
9/19/2015 11:00 AM,Toronto FC,Home,3,7,6,1,49.62
9/19/2015 11:00 AM,Colorado Rapids,Away,1,10,7,3,50.38
9/19/2015 04:00 PM,DC United,Home,1,15,7,8,42.77
9/19/2015 04:00 PM,New York City,Home,3,18,11,7,58.79
9/19/2015 04:00 PM,Vancouver Whitecaps,Home,0,25,6,19,52.76
9/19/2015 04:00 PM,Columbus Crew,Away,2,15,10,5,57.23
9/19/2015 04:00 PM,San Jose Earthquakes,Away,2,23,3,20,41.21
9/19/2015 04:00 PM,Seattle Sounders,Away,3,20,12,8,47.24
